xx,yy,time
592.056,166.278,1
57,167,1
222.136,166.409,1
252.033,167.633,1
427.367,166.967,1
446.9,167.9,1
469.767,168.3,1
148.233,169.433,1
318.125,169.5,1
349.5,168.875,1
479.917,168.583,1
191.167,169.5,1
212.8,170.8,1
358.857,171.286,1
418.875,171.5,1
621.214,171,1
637.808,170.5,1
141.1,171.7,1
203.794,172.5,1
226.5,171,1
306.071,172.5,1
435.633,171.9,1
461.147,172.029,1
31.5,172.5,1
134.286,173.286,1
184,172.786,1
333.286,172.857,1
41.5,173.5,1
122.389,174.167,1
175,174.214,1
236,173.786,1
287.654,174.038,1
566.625,173.375,1
598.571,173.929,1
51,174.7,1
155.885,174.885,1
165.367,174.967,1
193.667,175.222,1
342.033,175.633,1
629.938,175.75,1
61.833,176.25,1
452.5,176,1
588.583,175.917,1
143.714,177.5,1
149.7,176.5,1
228,177,1
297.115,177.115,1
443.214,177,1
474.429,177.071,1
220.045,178.136,1
318.115,177.808,1
325.786,178,1
351.1,178.5,1
186.25,178.5,1
210.033,179.633,1
244.192,179.423,1
430.167,179.367,1
436.667,178.333,1
615,178.7,1
464.625,179.625,1
638.611,179.833,1
200.688,181.188,1
360.038,180.654,1
36.038,181.654,1
170.625,182.812,1
180.143,182.286,1
305.9,182.5,1
335.633,182.033,1
605.818,182.636,1
45.885,182.885,1
151.367,182.967,1
160.885,182.885,1
189.6,183.3,1
234.714,183.071,1
595.333,182.583,1
623.618,182.912,1
55.6,183.7,1
124.136,184.045,1
288.786,184,1
225.5,184.875,1
344.967,185.367,1
369.333,184.583,1
448.115,184.885,1
457.5,184.5,1
133.633,186.033,1
632.357,186.571,1
142.857,187.286,1
216.214,186.643,1
297.5,187,1
470,186.786,1
615.633,186.967,1
206.75,188.125,1
328.25,187.938,1
353.786,188,1
19.75,188.833,1
30.071,189.5,1
313,189.214,1
149.357,189.214,1
240.643,190.571,1
588.731,189.885,1
40.045,190.864,1
156,191,1
165.367,190.967,1
174.633,190.967,1
184.188,191.312,1
337.333,191.667,1
362.75,191.083,1
598.967,191.367,1
50,192,1
60,192,1
194.045,192.136,1
231.167,192.233,1
625,192,1
304.188,193.75,1
442.6,192.6,1
453,193,1
462.4,192.8,1
608.286,192.857,1
128.5,194.333,1
221.633,194.033,1
321.147,194.029,1
431.583,193.75,1
137.786,195,1
147.75,195.375,1
347,195,1
371.786,195,1
294.5,196.147,1
616.929,196.5,1
634,195.786,1
211.618,196.912,1
330,197.5,1
153.625,197.375,1
200.833,198.367,1
285,198,1
356,198,1
25.136,198.591,1
35.083,199.25,1
160.033,199.633,1
169.559,199.206,1
179,199.5,1
188.357,199.143,1
237.342,199.763,1
313.286,198.857,1
45,200.7,1
228.125,201.5,1
246.875,201.5,1
259.786,200.857,1
339.367,200.967,1
448.038,201.346,1
626.714,201.071,1
55.5,201.5,1
290.5,202,1
305.286,202.571,1
365.731,202.269,1
438,201.5,1
609.5,202.071,1
132.967,203.367,1
142.125,203.5,1
219.312,203.188,1
322.233,203.433,1
152,203.786,1
348.5,204.5,1
296.833,205.633,1
618.625,205.625,1
635.367,204.967,1
158.5,205.7,1
164.967,207.367,1
174.714,207.714,1
184.071,207.5,1
194.029,207.147,1
203.5,207.062,1
224.167,207.167,1
267.367,206.967,1
331.5,206.875,1
496.045,207.136,1
253.786,208,1
260.5,207.5,1
287,207.786,1
314.033,208.633,1
357.9,207.9,1
244.833,210.167,1
340.5,210.333,1
601.786,210,1
627.714,210.143,1
610.967,211.367,1
146.75,212.167,1
156.9,211.9,1
228.1,212.1,1
304,212,1
367.633,212.033,1
135.577,212.808,1
218.9,212.9,1
324,212.786,1
